LAMMPS data file via write_data, version 23 Jun 2022, timestep = 50000

2160 atoms
2 atom types

0.7053140355554284 29.433599344442797 xlo xhi
0.707778865611111 29.536459654387976 ylo yhi
0.8168230113043435 34.08700243869183 zlo zhi

Masses

1 15.9994
2 28.0855

Atoms # charge

288 1 -1.2 5.728890568364938 6.741293316794412 4.211483554963632 1 0 0
567 2 2.4 5.709380971093086 5.586571207604022 2.9757406277398233 1 0 0
1360 2 2.4 3.65938122336552 3.155750906368831 2.5854803562254927 1 0 1
485 1 -1.2 5.045300199918307 6.467693920754508 1.8458882424887224 1 0 0
638 2 2.4 5.3923039569883615 3.279241736440571 6.326156158808352 1 0 0
211 1 -1.2 2.869321535116165 2.388350425715025 3.717737310414108 1 0 0
584 1 -1.2 2.721382989440563 6.433273639997941 6.5799950120210635 0 0 0
729 1 -1.2 4.638050979150747 2.0670738231354813 1.8125474036736038 0 1 1
1632 1 -1.2 4.636318687006536 4.350996921142178 3.0070421155754006 0 1 1
82 1 -1.2 7.171237013632211 5.138661321820109 2.586184173756477 0 0 0
239 1 -1.2 2.4973870810430565 6.381633356739106 2.226590997600084 0 0 0
47 1 -1.2 1.479923488999431 4.323434905362804 6.445040103614815 1 0 0
1065 1 -1.2 4.099883306572482 4.094708314734289 6.504551220632459 1 0 0
1899 2 2.4 1.0012967407826505 6.3091744874750715 2.637306428648745 1 0 1
863 1 -1.2 2.543700822854899 3.6702096982020618 1.4447152101100378 1 1 0
583 1 -1.2 5.847727337482111 2.609434038438523 4.901886340216407 0 0 0
13 2 2.4 6.9446544570128435 1.4507212428391272 4.583803433115488 0 0 0
4 2 2.4 2.3350684437197575 1.1679819058995 4.5704461348432 0 0 0
652 2 2.4 2.822373954618795 4.868719203156946 7.08303686137647 0 0 0
1812 1 -1.2 6.751572040295476 4.1045469726271175 6.7709938671059415 0 0 1
2138 2 2.4 3.5719592906044344 6.684341005779123 1.1143665301203087 1 1 1
1483 1 -1.2 3.094400094024527 1.1621340367717656 6.052634673183063 0 1 0
188 1 -1.2 1.006919902282594 5.56853239084523 4.145736119128497 1 0 0
1163 1 -1.2 0.7875723627956925 1.302006584139849 4.829989005407533 0 0 0
1771 1 -1.2 5.25286272321179 1.9007757385441015 7.13877748488289 0 0 1
1213 2 2.4 1.0360951018689633 3.88758734037143 34.07693000652608 1 0 0
1744 2 2.4 5.014907742397131 29.529546378225408 1.0473206736203227 0 -1 1
91 1 -1.2 7.713988162302431 1.8249385983374795 3.277843656736473 0 0 0
379 1 -1.2 8.11252203154162 1.468617608978711 5.665172884387654 0 1 0
1730 2 2.4 8.572448598157706 5.054469935111686 1.8341392491574524 0 0 1
803 1 -1.2 9.634119636483684 5.7588188697465394 2.9415659765254634 -1 1 0
240 1 -1.2 9.013309415141759 3.492548147907006 1.8655248943901108 0 1 0
891 2 2.4 9.155051349797606 2.338732543015868 2.924616956320676 0 0 0
519 2 2.4 11.591800598933661 3.16422726899036 4.477469910870032 0 0 0
1042 1 -1.2 12.499284846985745 1.8154191837544036 4.265446174328934 0 1 0
1387 1 -1.2 13.488789305772839 5.91391989835122 6.169625968736698 0 0 1
1089 1 -1.2 12.007279886353563 3.727331662504536 5.968205002563493 -1 0 1
1572 1 -1.2 11.843694947057472 4.5230841234273695 3.585935798410998 0 0 1
866 2 2.4 13.25857858317907 4.435922985945674 6.673996369424529 0 0 0
1043 1 -1.2 10.013546143370236 2.995457959619771 4.13413187258787 0 0 1
1207 1 -1.2 10.82095784923647 6.411765306506734 5.1721080006569515 0 1 0
1936 2 2.4 9.795702667084866 6.858345452229721 6.365325136930279 1 0 1
1803 2 2.4 11.04393009205938 5.9477601466641765 3.6068461721333223 0 0 1
1919 1 -1.2 13.971237579953634 5.67572471406301 2.1007638537714706 0 0 1
1471 1 -1.2 11.691332778596175 7.114908402184785 2.6334296016278387 0 0 1
1837 2 2.4 14.158245973256884 7.147246946584674 2.862783448696826 0 0 1
434 2 2.4 13.993205830295823 7.3929370280725895 5.832712971218299 0 0 0
1820 1 -1.2 9.03244705192156 5.599473286058018 6.976427319172085 0 0 1
1241 1 -1.2 10.569186845981076 1.1272336156336107 6.682462658950762 0 1 1
393 1 -1.2 14.486773884158954 3.557573740001425 6.042590500232964 0 1 0
1961 1 -1.2 10.046265280601721 1.199465134429624 2.283770289164406 0 1 1
282 1 -1.2 13.5802178955625 7.6522599479625875 4.304133088412897 1 0 0
532 2 2.4 9.06182564006417 1.5078861384650644 6.949087184698253 0 0 0
279 2 2.4 14.917340035528019 4.821348855016879 1.2187310002663307 0 1 0
1295 1 -1.2 10.493811307983417 7.7702569105480634 7.502654219617935 0 1 0
799 1 -1.2 15.563424031382997 6.634899187888185 3.514525753768584 -1 1 0
1565 1 -1.2 16.699413322045217 4.881115621239101 5.258876390989912 0 1 0
204 1 -1.2 16.242668767665464 4.297771689301395 2.0627131739988207 0 0 0
145 2 2.4 16.043737825376816 3.7829660233759936 6.246911679439042 0 1 0
913 2 2.4 20.268876474684504 3.6792523198522673 3.3181963745588448 0 0 0
1761 1 -1.2 20.974029046775534 4.806890982249025 4.147233572367046 0 0 1
1075 1 -1.2 18.72588940130019 4.010757534038582 2.960384660864535 0 0 0
398 2 2.4 17.42941043349605 3.203629470720307 2.3812346264715316 0 2 0
1374 1 -1.2 20.363968767546044 2.3924919353639647 4.200429826855749 0 0 0
190 1 -1.2 16.86382863035956 2.438618076145362 6.416883632403085 0 1 0
818 2 2.4 16.566592614642985 6.389706098943818 4.729223406727183 0 0 0
1561 2 2.4 21.446108771222463 5.573582569753995 5.484329674002973 0 0 0
486 1 -1.2 16.859449601043092 2.018612167485195 3.244274955268215 0 0 0
588 1 -1.2 17.915100107072075 7.021910444894678 4.335941791005078 0 0 0
1784 1 -1.2 21.08181347729662 3.4990313266698014 1.949685598198518 0 0 1
749 1 -1.2 20.885961909296633 1.6153197692044117 6.592191950371868 0 1 0
184 2 2.4 21.426838256814605 1.521929283116335 5.112462481937343 0 0 0
180 1 -1.2 20.453968897848135 5.338338137465024 6.711495199980926 0 0 0
401 1 -1.2 15.668347474141404 7.262248531176802 5.848329153854011 0 1 0
341 1 -1.2 21.483488583459586 7.086703752054345 5.287800230626305 0 1 0
2012 1 -1.2 19.82396417346577 7.191608249271563 2.4853814869131146 1 0 1
275 1 -1.2 17.568536856791873 7.039682355058942 1.8184651715481976 0 0 0
1189 2 2.4 20.816181540248216 7.126870288290593 1.1868935058001961 0 0 0
132 1 -1.2 21.674997252776098 5.778278341056046 1.1674729288670496 0 0 0
1408 2 2.4 18.415356638049495 7.707073281840167 3.013524682243006 0 0 0
817 2 2.4 22.16495145572711 4.2707892396039036 1.0982986459657031 0 1 0
848 1 -1.2 29.07271786240102 5.078243634587963 1.7135723810629737 -1 1 0
1569 1 -1.2 28.98851668630826 2.550460446397135 1.2351701543587077 0 1 1
577 2 2.4 29.034563493106152 4.82267959128847 5.402862834339907 -1 0 0
1787 1 -1.2 22.91834961443644 4.933346375854012 5.867155117475286 -1 0 1
791 1 -1.2 22.7652772194967 2.43865141594126 5.227456161025655 0 1 0
833 1 -1.2 27.827160257767748 3.920881602600428 4.6765220269189545 -1 1 0
1459 1 -1.2 25.93445677863264 3.260101252256915 2.7476373916960313 0 0 0
1726 1 -1.2 26.22351901746455 6.828486967610764 4.500483649565155 0 1 1
995 1 -1.2 28.143570894956643 5.826431943671805 6.17363183985215 0 0 0
1443 2 2.4 26.917743497431868 6.771866300338827 5.978913668511389 -1 0 1
2140 2 2.4 26.443460570415787 3.2019341343918324 4.303890697226738 0 1 1
697 2 2.4 23.683402762020737 3.5082004096725394 5.954264033554603 0 1 0
192 1 -1.2 25.147866388271154 3.6350487094874286 5.196836594187131 0 1 0
635 1 -1.2 25.58468721737142 6.703256387498357 2.026029454786638 0 0 0
1307 1 -1.2 26.894408120056756 1.727103812544986 4.872269580341443 -1 0 1
63 2 2.4 25.17219904507224 3.55699394182157 1.3726063673478306 0 0 0
900 1 -1.2 23.66906140311192 4.088984269415533 1.6687808270366433 0 0 0
1705 2 2.4 28.14854357893819 1.1939708900779973 5.661854312567836 0 1 0
187 1 -1.2 23.64868457360389 7.347788643180355 3.963138353296678 0 0 0
234 1 -1.2 28.309358959066973 2.225804560920909 6.924207134702041 -1 1 0
516 1 -1.2 25.701835570265743 6.180613020897156 6.850494892747046 -1 0 0
1984 2 2.4 25.171473069140035 7.401464115722607 3.410620237132403 0 0 1
387 2 2.4 28.858450271069486 0.987731686719632 1.3909680910118807 -1 1 0
1783 1 -1.2 24.874577981036683 2.0505635644702833 34.02081881086438 0 0 -1
958 1 -1.2 29.016400952313862 7.811668612616786 2.8335579536890525 -1 0 1
278 2 2.4 2.779013110445968 7.956747914818747 6.147816366665373 1 0 0
1206 1 -1.2 3.9127258564067873 8.340928234966025 5.055634495770558 1 1 0
